id,text,class,volunteers_count,judgment_confidence
366,i would not feel hesitant in using the medical system again if needed,4,3.0,0.9178347151826829
9003,i try to stuff my wildly feeling heart and messy insides safely and politely back where they belong but instead im like the scarecrow from the wizard of oz anxious and undone,0,3.0,0.788852518989
16632,i just need to find ways to feel pretty,1,4.0,0.8527618501996005
2199,i think the protection part is the part where i feel some has abused it more than the other reasons intended for the rights to bear arms,0,4.0,0.7939274432689004
3079,im feeling mellow and am enjoying the cooler weather,1,4.0,0.953161810328107
13219,i feel let alone give a shit,0,3.0,1.0
6329,Our female guinea pig is pregnant &#127882;&#127881;&#127873;&#128525;&#128525;&#128525;,2,3.0,0.6666666666666666
10505,i break down and it leaves me feeling bitter,3,3.0,0.985420135417779
12166,i recently had a very ill and premature baby what can i do to feel less devastated,0,3.0,0.6389436048514067
3016,im sure it feels wonderful,1,3.0,0.8647428580059219
8538,before an exam which i,4,3.0,0.9687047733003303
13039,i feel heartbroken and worried and i have a wicked headache,0,4.0,0.6264373467378153
14355,i feel heartless in saying so though,3,3.0,0.8362944015038923
9541,i have survived the low part of the crash im starting to feel hopeful again,1,3.0,0.8136941377121509
17418,i begin to feel unpleasant about anime fandom in general,0,3.0,1.0
8667,i can brandish this article at anyone who makes fun of me for staying in bed too late or whenever i feel tragic for staying up until,0,3.0,1.0
1653,i know karen wouldnt see it that way if i addressed these things with her it would open a whole miserable can of worms she wouldnt see that shes doing anything wrong and wouldnt be open to hearing how i feel it would turn into an ugly confrontation and i hate confrontation,0,2.0,0.8163849604289135
6145,i feel disrespected and insulted,3,2.0,0.8606640372710551
11830,Double Stuff Oreos mane say,2,3.0,1.0
11717,i realise that desiring a substance to feed a feeling only compounds the desire to feed the feeling i realise ive abused substances since early childhood,0,2.0,1.0
7839,i prayed to trust god with my desire to feel a divine sense of home,1,3.0,1.0
14094,i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,1,4.0,0.6520992479155849
13534,"RT @El_Grillo1: In the ME, the crow would eat the bear MT @webradius Obviously not in the ME MT @solemnwatch: Bear Saves Drowning Crow - An&#8230;",2,3.0,1.0
15713,i feel the need to write even though i really have nothing important to say,1,3.0,0.8547463083712264
7261,i have a large parcel of time or am feeling reluctant to write i set our kitchen timer for minutes and write until the bell rings,4,2.0,0.8417810142066786
1206,i feel stress free heading into the holidays,1,5.0,1.0
11497,im with her most of the time i feel perfectly content,1,2.0,1.0
3658,i have never met in real life but feel super bonded to through crisis pregnancies and genius children and my new friend sara at a href http everybitterthingissweet,1,4.0,1.0
7696,i am so proud of him and who he has become and i feel privileged to call him brother,1,4.0,0.9190817417768012
12884,i feel like i m getting a milkshake and it has really helped me control my sweet tooth,1,3.0,1.0
1486,RT @zippy1981: @voretaq7 from a TDD POV linux is just a mock for the kernel of the GNU/HURD system.,2,3.0,1.0
13634,i feel more happiness and are more peaceful,1,4.0,0.8265891335915398
12636,i was feeling apprehensive about my journey because i would be using public transportation the whole way,4,4.0,1.0
11335,@Titan4Ever2488 how do Yankees fans look back on Gary Sheffield's time with the team?,2,3.0,1.0
10946,Is dare any colored players in hockey?,2,3.0,0.6666666666666666
10777,i feel so pissed and i feel like sleeping s,3,3.0,0.9495944034523234
85,i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,3,3.0,0.8525729616812494
167,i am so feeling so rich and yup i know i am so blessed,1,4.0,0.5837239884853911
17315,i read the ny times i feel very inadequate,0,3.0,0.7178643240837678
17971,i actually feel sorrowful,0,3.0,0.7033184963922887
6209,i understand that but its so nice not to feel like the weird one,4,3.0,0.7437662357051598
13740,i feel like i ve fucked up massively for not being able to fight off being suicidal,3,4.0,0.6519107808145763
12126,@mdsaab1 lmaoo abo crusty hands,2,3.0,1.0
2830,i feel even more pressured to cook healthy meals and not eat out do thorough preschool lessons with my boys keep the house spotless exercise serve the church and community and be a happy loving wife at all times,4,4.0,0.9004773245210981
15286,i am going to print this and refer to it as often as i can so that when i feel things which arent so pleasant i can remember that now is the only moment i have to live in so make the most of it,1,4.0,0.933199454588176
6023,when my boyfriend last told me he loved me after i gave him an impulsive kiss,1,3.0,0.9555421416768085
3615,i have been writing and playing too which feels quite wonderful,1,4.0,0.7024891975265073
15143,i was feeling pressured but it looked awful to have my make up on and my dark wig and then my eye brows look so light,4,3.0,0.9264493409450548
14041,i feel like there isnt any dirty oil left on my skin after using this to clog my pores or make my skin oily towards the end of the day,0,3.0,0.9161872821968535
17118,i last saw him and already im feeling this agitated,3,4.0,0.82426498243095
16693,i just feel discouraged,0,4.0,0.7843122222280247
7578,anybody want to take me to pollo?,2,3.0,1.0
1418,i don t feel particularly elegant though,1,3.0,0.9851415354065148
18514,i know that i love what i do but struggle with feeling content and balanced,1,2.0,0.6979396139377502
5321,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,3.0,1.0
6494,Why McDonald's breakfast good but the lunch trash,2,3.0,1.0
7584,i cant explain how proud of him i am and the feeling of seeing him so determined each time to win,1,3.0,0.8478060374882918
46,i cant help but feeling a little hesitant about my decision just because of the magnitude of the decision,4,3.0,0.5955249368793929
9193,i said earlier our bodies have gotten used to the heat and the curiosity of what degrees feels like keeps me eager for the next summer day,1,4.0,0.8617081273618319
14894,RT @120Sports: Twitter tipped its cap to say #FarewellCaptain to Jeter in his Yankee Stadium finale. VIDEO: http://t.co/QdldmWBwXJ http://t&#8230;,2,3.0,1.0
6793,"I know right. Get one guy out!! Man! @pjmclaugh: You had ONE JOB, Josh@Nobz13 Outman! #Yankees&#8221;",2,3.0,1.0
6459,i don t feel like i m unsuccessful when i fail at reaching a goal in my freelance writing career,0,4.0,1.0
3595,i am happy to report that i was able to get miles in with minimal pain i just iced it afterwards and im feeling ok,1,4.0,1.0
12025,@KodyMark1 go Yankees,2,3.0,1.0
15059,RT @BlissTabitha: Homeowner Shoots Armed Suspect Who Attacked and Pistol Whipped Him http://t.co/VLuEwUGclg,2,3.0,1.0
3989,ive reserved the right to feel all stubborn and powerless about it,3,3.0,0.9227581828712361
2069,i feel valuable a href http idreamculture,1,3.0,0.7474782621335877
